City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
133,mamuju,-2.6748,118.8885,29.13,72,22,1.5,ID,1693296558
134,kruisfontein,-34.0033,24.7314,25.32,19,0,6.1,ZA,1693296558
135,nea alikarnassos,35.3333,25.1667,32.19,53,0,2.06,GR,1693296558
136,durango,24.8333,-104.8333,17.05,43,96,1.99,MX,1693296559
137,haiku-pauwela,20.9219,-156.3051,25.02,71,17,4.02,US,1693296560
138,sal rei,16.1833,-22.9167,28.11,74,75,4.63,CV,1693296560
139,anadyr,64.75,177.4833,9.28,87,75,6.0,RU,1693296561
140,uvinza,-5.1036,30.3911,28.47,30,23,4.92,TZ,1693296561
141,naze,28.3667,129.4833,27.09,79,17,4.53,JP,1693296449
142,hasaki,35.7333,140.8333,34.06,79,96,7.78,JP,1693296351
143,kuala terengganu,5.3302,103.1408,32.21,50,81,3.31,MY,1693296510
144,afaahiti,-17.75,-149.2833,23.93,88,100,8.91,PF,1693296563
145,kathu,7.9178,98.3332,30.9,78,87,8.37,TH,1693296564
146,al-hamdaniya,36.2715,43.3737,34.82,25,30,5.79,IQ,1693296564
147,albany,42.6001,-73.9662,19.23,94,99,1.15,US,1693296521
148,sabang,5.8933,95.3214,28.21,78,84,10.39,ID,1693296566
149,lupane,-18.9315,27.807,19.28,34,0,4.91,ZW,1693296567
150,toulepleu guere,6.574,-8.4259,22.39,98,100,0.63,CI,1693296567
151,aasiaat,68.7098,-52.8699,1.96,92,6,4.49,GL,1693296568
152,arraial do cabo,-22.9661,-42.0278,19.27,85,100,7.99,BR,1693296568
153,port saint john's,-31.6229,29.5448,23.04,39,12,3.89,ZA,1693296569
154,hamilton,39.1834,-84.5333,17.17,89,0,2.06,US,1693296570
155,praia da vitoria,38.7333,-27.0667,23.2,90,72,4.29,PT,1693296571
156,kununurra,-15.7667,128.7333,34.99,15,82,4.63,AU,1693296445
157,san jorge,-31.8962,-61.8598,5.47,55,0,3.52,AR,1693296571
158,ha'il,27.5219,41.6907,31.85,18,0,4.8,SA,1693296573
159,horta,38.5333,-28.6333,22.8,95,75,5.81,PT,1693296573
160,tvoroyri,61.5556,-6.8111,11.13,90,84,3.24,FO,1693296573
161,kapa'a,22.0752,-159.319,27.18,76,40,6.17,US,1693296574
162,qaqortoq,60.7167,-46.0333,8.42,58,100,0.48,GL,1693296574
163,tarauaca,-8.1614,-70.7656,21.69,98,12,1.07,BR,1693296575
164,muroto-misakicho,33.2833,134.15,28.27,75,15,3.83,JP,1693296575
165,codrington,-38.2667,141.9667,18.29,59,100,5.77,AU,1693296577
166,magione,43.1439,12.2069,20.11,84,100,1.29,IT,1693296578
167,farasan,16.7022,42.1183,31.66,69,93,1.05,SA,1693296578
168,nema,57.5067,50.5011,16.51,51,6,5.73,RU,1693296579
169,mili,6.0815,171.735,27.5,79,100,4.24,MH,1693296579
170,usinsk,65.9939,57.5281,13.44,61,43,1.89,RU,1693296580
171,revda,56.801,59.9303,8.45,94,100,5.67,RU,1693296582
172,greenville,35.6127,-77.3663,24.09,99,40,0.0,US,1693296582
173,porto novo,6.4965,2.6036,26.74,77,100,2.64,BJ,1693296583
174,st. john's,47.5649,-52.7093,15.54,92,0,3.13,CA,1693296327
175,saipan,15.1355,145.701,27.39,83,100,1.54,MP,1693296584
176,hawaiian paradise park,19.5933,-154.9731,21.73,97,100,3.09,US,1693296584
177,moron,-34.6534,-58.6198,11.65,65,97,2.31,AR,1693296585
178,cuamba,-14.8031,36.5372,22.74,38,94,4.82,MZ,1693296585
179,mogocha,53.7333,119.7667,22.88,29,95,2.08,RU,1693296586
180,mount pleasant,32.7941,-79.8626,26.11,96,0,0.0,US,1693296586
